score,hand,handtype,score2
7.043,"[3, 4, 7]",0,37602.0
7.042,"[2, 4, 7]",0,34706.0
7.032,"[2, 3, 7]",0,31810.0
6.053999999999999,"[4, 5, 6]",0,28914.0
6.053,"[3, 5, 6]",0,26018.0
6.052,"[2, 5, 6]",0,23122.0
6.043,"[3, 4, 6]",0,20226.0
6.042,"[2, 4, 6]",0,17330.0
6.032,"[2, 3, 6]",0,14434.0
5.043,"[3, 4, 5]",0,11538.0
5.042,"[2, 4, 5]",0,8643.0
5.032,"[2, 3, 5]",0,5747.0
4.032,"[2, 3, 4]",0,2851.0
