hand,value,handtype,score
"('12D', '13H', '13S')",28.12,1,983484.0
"('12H', '13C', '13D')",28.12,1,983484.0
"('12H', '13C', '13H')",28.12,1,983484.0
"('12H', '13C', '13S')",28.12,1,983484.0
"('12H', '13D', '13H')",28.12,1,983484.0
"('12H', '13D', '13S')",28.12,1,983484.0
"('12H', '13H', '13S')",28.12,1,983484.0
"('12S', '13C', '13D')",28.12,1,983484.0
"('12S', '13C', '13H')",28.12,1,983484.0
"('12S', '13C', '13S')",28.12,1,983484.0
"('12S', '13D', '13H')",28.12,1,983484.0
"('12S', '13D', '13S')",28.12,1,983484.0
"('12S', '13H', '13S')",28.12,1,983484.0
"('11C', '13C', '13D')",28.11,1,982398.0
"('11C', '13C', '13H')",28.11,1,982398.0
"('11C', '13C', '13S')",28.11,1,982398.0
"('11C', '13D', '13H')",28.11,1,982398.0
"('11C', '13D', '13S')",28.11,1,982398.0
"('11C', '13H', '13S')",28.11,1,982398.0
"('11D', '13C', '13D')",28.11,1,982398.0
"('11D', '13C', '13H')",28.11,1,982398.0
"('11D', '13C', '13S')",28.11,1,982398.0
"('11D', '13D', '13H')",28.11,1,982398.0
"('11D', '13D', '13S')",28.11,1,982398.0
"('11D', '13H', '13S')",28.11,1,982398.0
"('11H', '13C', '13D')",28.11,1,982398.0
"('11H', '13C', '13H')",28.11,1,982398.0
"('11H', '13C', '13S')",28.11,1,982398.0
"('11H', '13D', '13H')",28.11,1,982398.0
"('11H', '13D', '13S')",28.11,1,982398.0
"('11H', '13H', '13S')",28.11,1,982398.0
"('11S', '13C', '13D')",28.11,1,982398.0
"('11S', '13C', '13H')",28.11,1,982398.0
"('11S', '13C', '13S')",28.11,1,982398.0
"('11S', '13D', '13H')",28.11,1,982398.0
"('11S', '13D', '13S')",28.11,1,982398.0
"('11S', '13H', '13S')",28.11,1,982398.0
"('10C', '13C', '13D')",28.1,1,981312.0
"('10C', '13C', '13H')",28.1,1,981312.0
"('10C', '13C', '13S')",28.1,1,981312.0
"('10C', '13D', '13H')",28.1,1,981312.0
"('10C', '13D', '13S')",28.1,1,981312.0
"('10C', '13H', '13S')",28.1,1,981312.0
"('10D', '13C', '13D')",28.1,1,981312.0
"('10D', '13C', '13H')",28.1,1,981312.0
"('10D', '13C', '13S')",28.1,1,981312.0
"('10D', '13D', '13H')",28.1,1,981312.0
"('10D', '13D', '13S')",28.1,1,981312.0
