hand,value,handvalue,score
"('07H', '03D', '09C')",9.073,0.0,136063.0
"('07H', '02C', '09C')",9.072000000000001,0.0,133167.0
"('06C', '05H', '09C')",9.065000000000001,0.0,130271.0
"('06C', '04H', '09C')",9.064,0.0,127376.0
"('06C', '03D', '09C')",9.063,0.0,124480.0
"('06C', '02C', '09C')",9.062000000000001,0.0,121584.0
"('04H', '05H', '09C')",9.054,0.0,118688.0
"('05H', '03D', '09C')",9.053,0.0,115792.0
"('02C', '05H', '09C')",9.052000000000001,0.0,112896.0
"('04H', '03D', '09C')",9.043,0.0,110000.0
"('04H', '02C', '09C')",9.042,0.0,107104.0
"('02C', '03D', '09C')",9.032,0.0,104208.0
"('07H', '06C', '08C')",8.076,4.0,101312.0
"('07H', '08C', '05H')",8.075000000000001,0.0,98416.0
"('07H', '04H', '08C')",8.074,0.0,95520.0
"('07H', '08C', '03D')",8.073,0.0,92624.0
"('07H', '08C', '02C')",8.072000000000001,0.0,89729.0
"('06C', '08C', '05H')",8.065000000000001,0.0,86833.0
"('06C', '04H', '08C')",8.064,0.0,83937.0
"('06C', '08C', '03D')",8.063,0.0,81041.0
"('06C', '08C', '02C')",8.062000000000001,0.0,78145.0
"('04H', '08C', '05H')",8.054,0.0,75249.0
"('08C', '05H', '03D')",8.053,0.0,72353.0
"('08C', '02C', '05H')",8.052000000000001,0.0,69457.0
"('04H', '08C', '03D')",8.043,0.0,66561.0
"('04H', '08C', '02C')",8.042,0.0,63665.0
"('08C', '02C', '03D')",8.032,0.0,60769.0
"('07H', '06C', '05H')",7.0649999999999995,4.0,57873.0
"('07H', '06C', '04H')",7.063999999999999,0.0,54977.0
"('07H', '06C', '03D')",7.063,0.0,52081.0
"('07H', '06C', '02C')",7.061999999999999,0.0,49186.0
"('07H', '04H', '05H')",7.053999999999999,0.0,46290.0
"('07H', '05H', '03D')",7.053,0.0,43394.0
"('07H', '02C', '05H')",7.052,0.0,40498.0
"('07H', '04H', '03D')",7.043,0.0,37602.0
"('07H', '04H', '02C')",7.042,0.0,34706.0
"('07H', '02C', '03D')",7.032,0.0,31810.0
"('06C', '04H', '05H')",6.053999999999999,4.0,28914.0
"('06C', '05H', '03D')",6.053,0.0,26018.0
"('06C', '02C', '05H')",6.052,0.0,23122.0
"('06C', '04H', '03D')",6.043,0.0,20226.0
"('06C', '04H', '02C')",6.042,0.0,17330.0
"('06C', '02C', '03D')",6.032,0.0,14434.0
"('04H', '05H', '03D')",5.043,4.0,11538.0
"('04H', '02C', '05H')",5.042,0.0,8643.0
"('02C', '05H', '03D')",5.032,0.0,5747.0
"('04H', '02C', '03D')",4.032,4.0,2851.0
